tax_id	species	genus	family	order	class	phylum	superkingdom	barcode06	barcode13	barcode15	barcode19	barcode20	barcode16	barcode25	barcode17	barcode03	barcode01	barcode02	barcode04	barcode07	barcode14	barcode05	barcode18	barcode26	barcode28	barcode30	barcode27	barcode31	barcode29	barcode37	barcode38	barcode39	barcode40	barcode41	barcode46	barcode42	barcode49	barcode43	barcode51	barcode50	barcode55	barcode53	barcode54	barcode61	barcode62	barcode64	barcode63	barcode67	barcode52	barcode72	barcode73	barcode65	barcode74	barcode75	barcode66	barcode76	barcode79	barcode84	barcode77	barcode85	barcode87	barcode78	barcode90	barcode86	barcode91	barcode89	barcode88
64568	Mortierella simplex	Mortierella	Mortierellaceae	Mortierellales	Mortierellomycetes	Mucoromycota	Eukaryota																																					136.92725243930693																							
64569	Mortierella strangulata	Mortierella	Mortierellaceae	Mortierellales	Mortierellomycetes	Mucoromycota	Eukaryota																																					253.3690828622952																							
64641	Pilaira anomala	Pilaira	Mucoraceae	Mucorales	Mucoromycetes	Mucoromycota	Eukaryota																											93.16960191010122																																	
64647	Actinomucor elegans	Actinomucor	Mucoraceae	Mucorales	Mucoromycetes	Mucoromycota	Eukaryota											48.72968978501397															12.708816825363131																																		
647229	Tricholoma guldeniae	Tricholoma	Tricholomataceae	Agaricales	Agaricomycetes	Basidiomycota	Eukaryota																																						162.56894087714457																						
647385	uncultured Rhodotorula					Basidiomycota	Eukaryota																				11.553231555705963																																								
648018	Aspergillus sp. AS47	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Eukaryota																		29.9502870497439																																										
650271	Amoebogregarina nigra	Amoebogregarina	Gregarinidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota						27.90823672657469						101.14889182946604										91.65208501577447		18.76049277187043					23.5094346566519	17.630002836301387																		184.6104710771194	79.78801603965226				13.41243471432012	55.09136877178457	103.73945363706429					
650274	Gregarina basiconstrictonea	Gregarina	Gregarinidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota											11.714477480578587	55.68842302602984										45.899914069443824		12.170377836842324					15.182683927457402																			122.50339675250537	52.07065304235064					18.11367382941805	90.79017224579894					
650275	Gregarina blattarum	Gregarina	Gregarinidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota	87.1670422376064	108.76391108614196		126.28292011291954	3.1250000000376748	4096.335261620498	55.40389645633904	41.24407088305111	35.17701699020085	67.42397806645054	2644.401188810872	17324.722525581143	108.61040933171958	315.87182563426177	166.45334123763908		39.87795241668417	163.03312861448194	51.48054893408614	48.6203407779075	50.86663225460072	19856.822184620665	41.012369241388704	3805.405675929205		31.33246724452998	92.2330865355082	13.124947959818977	5064.562486135233	3230.511398485536	39.44100420013381	53.35099134272208	35.121872706744334	60.56283227882621		70.39704947851675	26.706008849800774			58.32910267111449	12.718480495128308	109.00880209301452	8.19294216850298	171.19685132131414		282.0862291961811		40815.50511491538	17989.90557290874		3.761928888973544		1754.5152826109284	8048.63406462708	24232.00956849169	58.94234475315703		59.62638520770947		21.03211694081833
650279	Gregarina kingi	Gregarina	Gregarinidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota												19.790332357753165										15.964604621742067			303.8249994762976																							31.4421901634838	19.772479656696863						22.53842806297657					
