tax_id,R31,R34,C1,R55,R37,R1,R22,R48,R7.b,R11,R36,R13,R43,R51,R32,R3.1,R53,R56,R1.1,R5.2,R20_19,R4,R41,R33,R50,R16,R14,R29,R5.1,R24,R54,R39,R15,R35,R10,R27,R21,R44,R40,R7.a,R38,R6.b,R49,R19,R18,R28,R25,R52,R46,R3.2,R30,R45,R42,R2.2,R12,R23,R26,R47,R6.a,C2,R9
4958,,,,,2,,,,,1,95.01938737,1.001410437,,,,,,,,,,,9.037633117,,,,,,,,2.004455778,,,1,,,,,,,,,,2,,1.034062782,,,20.57477477,,,,,,,1.001088268,,,,,
76,,10,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.99691974,,,,,,,,,,,,,,,,,,,,,,,,,,17,
1036,,1.021772759,,,,20.28072311,13.34327273,,,2.000016742,,,,20.13617838,,,2.00115496,,,,,,,2,,,,,,,2.029788231,,,,,,,1.001066098,,,,,2.210805209,5.913913249,2.004385965,,,,,,,1.014236587,,,,,,51.768497,,,
21,,,,,3.000004611,,,,,1.00000001,,,,,15.80697193,,1.049772217,,,,,,1.001321644,,,,,,,,12.14660577,,,1,,,,4.004264392,,,,,,,1.506375741,4.317927999,,,,,,3.039066703,,,,3.71173988,,140.2245704,1.000671008,,
7138,,,,,,,,,,33.96558491,,,,,63.29504447,,2,,28.1077886,,,,3.002414868,,,,38.73819055,,,,,,13.10683357,,,,,2.05788167,,,,,,,,,,,,,1.001360544,,,16.02269444,,3.00326087,,,,,
5296,,,,,1.999999999,,,,,8.001951242,,,,,33.37391802,,,,,,,11.43233837,4.006211945,,,18.88956719,,,,,29.07574537,13.64280021,15.48989413,4,2,,,1.009387624,1.000079154,1,,,,10.3594114,2.004386892,3.986108132,,,,,1.001360544,2.003552434,2.000063369,1.002982079,,5.004626494,,,,,17.36995589
6036,,1.179663563,,,,,,17.22261458,,,,,,,,,,,,,,,1.001262626,,31.12257496,,50.58905667,,,,31.41136897,,,2.958823853,28.06517018,,,1.001066098,,,,,1.002089864,1.000000045,,36.13501415,,,,,,,,,,,,,2,,
4780,,8.673555094,,,15.01687205,,,,3.019060982,6.455925548,72.84770371,3.004231312,,,,,,,,,,,10.03482691,,,,18.29303443,,,,3.006666667,18.89004175,,5,,,,,2,4,,,1.002089864,,11.02412281,1.001257862,,,,,3.004081633,,2,1.001335113,,1.001086957,,,,,
74,,,,,1,19.17485737,,,,5.2001305,,,,,,11.54653567,2.001953032,,,,,,,1,,,27.71397542,,,,,,,2,,,,34.89449502,,1.000006839,,,,,3.006680683,,,,,1.032258065,2.002721088,1.010534631,5.05682378,4.972510581,,1.00108697,,69.81990759,,,
14393,,6.021048256,,,3.015781997,,13.98415219,,,1.000000001,,,,,50.25777747,,13.99247542,,,,15.24935661,,,3,,,,,,,5.002714144,,14.46330819,,2.654539182,,,1.017166665,1,,,,,9.092711451,2.004385965,6.064379357,,,,,,5.875199033,,1.001335113,,7.438550846,,,,,47.69091568
