tax_id	species	genus	family	order	class	phylum	superkingdom
7449		Negativibacillus	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
7454			Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
754		Undibacterium	Oxalobacteraceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
76				Chloroplast	Cyanobacteriia	Cyanobacteria	Bacteria
7688		Defluviitaleaceae UCG-011	Defluviitaleaceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
7716	hominis;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
7955	bogorensis;	Asaia	Acetobacteraceae	Acetobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
8		[Eubacterium] nodatum group	Anaerovoracaceae	Peptostreptococcales-Tissierellales	Clostridia	Firmicutes	Bacteria
8010		Faecalitalea	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
8072		Lactovum	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
8095		Oxalobacter	Oxalobacteraceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
8098		Candidatus Saccharimonas	Saccharimonadaceae	Saccharimonadales	Saccharimonadia	Patescibacteria	Bacteria
8255		Lachnospiraceae FCS020 group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
8270		Aestuariimicrobium	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteriota	Bacteria
8347	amylovorus;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
838	gallinarum;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
8381	pelogenes;	Aquitalea	Chromobacteriaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
84		Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
848	faecium;	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
8497			Peptococcaceae	Peptococcales	Clostridia	Firmicutes	Bacteria
851	gasseri;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
8514			Hydrogenoanaerobacterium	Oscillospirales	Clostridia	Firmicutes	Bacteria
855	acidophilus;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
8550		Caldicoprobacter	Caldicoprobacteraceae	Caldicoprobacterales	Clostridia	Firmicutes	Bacteria
859		Ligilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
8623		Lachnospira	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
8638		Pygmaiobacter	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
8652	microfusus;	Rikenella	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
8722	bongori;	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
876	johnsonii;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
88		Kluyvera	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
8869	mucosa;	Neisseria	Neisseriaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
8910	lactaris;	[Ruminococcus] torques group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
